complaint_text,officer,priority,eta_days
Internet not working,Network Team,High,1
WiFi disconnecting frequently,Network Team,High,2
Salary not credited,Finance Team,Medium,4
माझा पगार आला नाही,Finance Team,High,3
Laptop not starting,IT Support,High,2
VPN not connecting,Network Team,Medium,2
PF issue unresolved,HR Team,Medium,5
Software installation issue,IT Support,Low,4
Email not syncing,IT Support,Medium,3
Need leave approval,HR Team,Low,5
Server down issue,Network Team,High,1
Mouse not working,IT Support,Low,3
Keyboard issue,IT Support,Low,2
Internet speed very slow,Network Team,Medium,2
Salary delay issue,Finance Team,High,5
Leave balance incorrect,HR Team,Medium,4
Printer not working,IT Support,Low,3
System hanging frequently,IT Support,Medium,2
VPN access denied,Network Team,High,1
Bonus not received,Finance Team,Medium,5
